,MA_TINH,MA_BV,KHAM_BENH,NGAY_DULIEU
23951,74,74099,17.0,2020-01-02
24039,74,74099,8.0,2020-01-03
24154,74,74099,11.0,2020-01-06
24240,74,74099,14.0,2020-01-07
24329,74,74099,11.0,2020-01-08
24415,74,74099,5.0,2020-01-09
24500,74,74099,18.0,2020-01-10
24608,74,74099,5.0,2020-01-13
24693,74,74099,10.0,2020-01-14
24777,74,74099,12.0,2020-01-15
24864,74,74099,9.0,2020-01-16
24952,74,74099,6.0,2020-01-17
25067,74,74099,13.0,2020-01-20
25149,74,74099,4.0,2020-01-21
25224,74,74099,6.0,2020-01-22
25344,74,74099,4.0,2020-01-30
25426,74,74099,4.0,2020-01-31
25540,74,74099,8.0,2020-02-03
25630,74,74099,13.0,2020-02-04
25719,74,74099,13.0,2020-02-05
25806,74,74099,10.0,2020-02-06
25898,74,74099,12.0,2020-02-07
26013,74,74099,7.0,2020-02-10
26103,74,74099,14.0,2020-02-11
26188,74,74099,9.0,2020-02-12
26274,74,74099,8.0,2020-02-13
26363,74,74099,9.0,2020-02-14
26482,74,74099,9.0,2020-02-17
26572,74,74099,6.0,2020-02-18
26662,74,74099,5.0,2020-02-19
26751,74,74099,26.0,2020-02-20
26839,74,74099,10.0,2020-02-21
26967,74,74099,13.0,2020-02-24
27061,74,74099,8.0,2020-02-25
27156,74,74099,19.0,2020-02-26
27244,74,74099,15.0,2020-02-27
27336,74,74099,9.0,2020-02-28
27466,74,74099,13.0,2020-03-02
27558,74,74099,4.0,2020-03-03
27650,74,74099,9.0,2020-03-04
27742,74,74099,29.0,2020-03-05
27837,74,74099,10.0,2020-03-06
27966,74,74099,5.0,2020-03-09
28063,74,74099,32.0,2020-03-10
28162,74,74099,25.0,2020-03-11
28255,74,74099,6.0,2020-03-12
28352,74,74099,6.0,2020-03-13
28485,74,74099,21.0,2020-03-16
28582,74,74099,15.0,2020-03-17
28681,74,74099,23.0,2020-03-18
28772,74,74099,3.0,2020-03-19
28868,74,74099,24.0,2020-03-20
29003,74,74099,11.0,2020-03-23
29100,74,74099,17.0,2020-03-24
29198,74,74099,14.0,2020-03-25
29290,74,74099,11.0,2020-03-26
29387,74,74099,9.0,2020-03-27
29519,74,74099,5.0,2020-03-30
29613,74,74099,14.0,2020-03-31
29707,74,74099,11.0,2020-04-01
29823,74,74099,10.0,2020-04-03
29952,74,74099,12.0,2020-04-06
30047,74,74099,26.0,2020-04-07
30144,74,74099,14.0,2020-04-08
30236,74,74099,13.0,2020-04-09
30333,74,74099,22.0,2020-04-10
30464,74,74099,7.0,2020-04-13
30561,74,74099,11.0,2020-04-14
30657,74,74099,6.0,2020-04-15
30754,74,74099,14.0,2020-04-16
30855,74,74099,19.0,2020-04-17
30986,74,74099,4.0,2020-04-20
31082,74,74099,11.0,2020-04-21
31173,74,74099,7.0,2020-04-22
31267,74,74099,15.0,2020-04-23
31361,74,74099,6.0,2020-04-24
31497,74,74099,11.0,2020-04-27
31593,74,74099,13.0,2020-04-28
31689,74,74099,18.0,2020-04-29
31828,74,74099,6.0,2020-05-04
31912,74,74099,16.0,2020-05-05
32010,74,74099,12.0,2020-05-06
32108,74,74099,3.0,2020-05-07
32203,74,74099,11.0,2020-05-08
32340,74,74099,19.0,2020-05-11
