y,ds,unique_id
17.0,2020-01-02,H99
8.0,2020-01-03,H99
11.0,2020-01-06,H99
14.0,2020-01-07,H99
11.0,2020-01-08,H99
5.0,2020-01-09,H99
18.0,2020-01-10,H99
5.0,2020-01-13,H99
10.0,2020-01-14,H99
12.0,2020-01-15,H99
9.0,2020-01-16,H99
6.0,2020-01-17,H99
13.0,2020-01-20,H99
4.0,2020-01-21,H99
6.0,2020-01-22,H99
4.0,2020-01-30,H99
4.0,2020-01-31,H99
8.0,2020-02-03,H99
13.0,2020-02-04,H99
13.0,2020-02-05,H99
10.0,2020-02-06,H99
12.0,2020-02-07,H99
7.0,2020-02-10,H99
14.0,2020-02-11,H99
9.0,2020-02-12,H99
8.0,2020-02-13,H99
9.0,2020-02-14,H99
9.0,2020-02-17,H99
6.0,2020-02-18,H99
5.0,2020-02-19,H99
26.0,2020-02-20,H99
10.0,2020-02-21,H99
13.0,2020-02-24,H99
8.0,2020-02-25,H99
19.0,2020-02-26,H99
15.0,2020-02-27,H99
9.0,2020-02-28,H99
13.0,2020-03-02,H99
4.0,2020-03-03,H99
9.0,2020-03-04,H99
29.0,2020-03-05,H99
10.0,2020-03-06,H99
5.0,2020-03-09,H99
32.0,2020-03-10,H99
25.0,2020-03-11,H99
6.0,2020-03-12,H99
6.0,2020-03-13,H99
21.0,2020-03-16,H99
15.0,2020-03-17,H99
23.0,2020-03-18,H99
3.0,2020-03-19,H99
24.0,2020-03-20,H99
11.0,2020-03-23,H99
17.0,2020-03-24,H99
14.0,2020-03-25,H99
11.0,2020-03-26,H99
9.0,2020-03-27,H99
5.0,2020-03-30,H99
14.0,2020-03-31,H99
11.0,2020-04-01,H99
10.0,2020-04-03,H99
12.0,2020-04-06,H99
26.0,2020-04-07,H99
14.0,2020-04-08,H99
13.0,2020-04-09,H99
22.0,2020-04-10,H99
7.0,2020-04-13,H99
11.0,2020-04-14,H99
6.0,2020-04-15,H99
14.0,2020-04-16,H99
19.0,2020-04-17,H99
4.0,2020-04-20,H99
11.0,2020-04-21,H99
7.0,2020-04-22,H99
15.0,2020-04-23,H99
6.0,2020-04-24,H99
11.0,2020-04-27,H99
13.0,2020-04-28,H99
18.0,2020-04-29,H99
6.0,2020-05-04,H99
16.0,2020-05-05,H99
12.0,2020-05-06,H99
3.0,2020-05-07,H99
11.0,2020-05-08,H99
19.0,2020-05-11,H99
15.0,2020-05-12,H99
9.0,2020-05-13,H99
8.0,2020-05-14,H99
5.0,2020-05-15,H99
10.0,2020-05-18,H99
28.0,2020-05-19,H99
13.0,2020-05-20,H99
30.0,2020-05-21,H99
10.0,2020-05-22,H99
6.0,2020-05-25,H99
6.0,2020-05-26,H99
17.0,2020-05-27,H99
7.0,2020-05-28,H99
14.0,2020-05-29,H99
11.0,2020-06-01,H99
16.0,2020-06-02,H99
6.0,2020-06-03,H99
15.0,2020-06-04,H99
10.0,2020-06-05,H99
6.0,2020-06-08,H99
4.0,2020-06-09,H99
15.0,2020-06-10,H99
10.0,2020-06-11,H99
26.0,2020-06-12,H99
10.0,2020-06-15,H99
11.0,2020-06-16,H99
9.0,2020-06-17,H99
9.0,2020-06-18,H99
3.0,2020-06-19,H99
6.0,2020-06-22,H99
3.0,2020-06-23,H99
7.0,2020-06-24,H99
20.0,2020-06-25,H99
13.0,2020-06-26,H99
